Label,BalabanJ,BertzCT,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,Ipc,Kappa2,Kappa3,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinEStateIndex,MolLogP,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,VSA_EState10,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azo,fr_benzodiazepine,fr_bicyclic,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea
0,1.821,1266.407,6.093,9.185,0.0,35.509,22.291,4.9,20.224,41.21,0.0,24.787,11.467,422.162,0.15,-4.28,12184745.6,7.859,3.564,0.452,14.164,0.413,0.018,-0.668,2.443,0,0,0,1,3,4,9,2,11,6,0,0,0,16.204,17.199,23.107,0.0,0.0,6.093,4.9,28.819,5.099,0.0,18.199,18.199,18.808,19.041,4,13.922,34.45,0.0,24.732,0.0,6.545,30.525,53.976,11.518,16.367,26.508,0.0,0.0,44.983,11.282,5.817,5.563,42.595,0.0,22.552,138.07,0.0,15.727,62.94,0,0,2,0,5,0,0,1,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,2.363,490.434,12.073,10.002,0.0,0.0,5.063,14.963,0.0,18.261,30.332,0.0,5.734,236.062,0.182,-1.59,5774.616,4.112,1.868,0.35,10.832,0.339,0.421,-0.843,2.732,0,0,0,1,1,2,3,2,5,3,0,0,0,5.734,0.0,0.0,0.0,0.0,6.031,5.207,4.795,5.063,11.337,18.199,24.443,9.577,6.042,2,10.002,27.454,0.0,5.063,5.734,12.966,0.0,35.209,0.0,5.734,4.795,0.0,11.337,16.302,0.0,0.0,17.843,30.332,0.0,10.086,66.56,1.542,0.0,39.292,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,3.551,93.092,5.969,9.901,0.0,6.545,4.483,0.0,0.0,21.143,0.0,0.0,0.0,117.079,0.8,-0.57,23.005,2.132,5.43,0.544,9.888,0.118,0.069,-1.002,-1.557,0,0,0,0,0,0,2,0,3,2,0,0,0,14.384,6.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.112,0,14.384,5.969,0.0,0.0,0.0,0.0,27.688,0.0,0.0,5.107,0.0,0.0,0.0,38.14,4.795,0.0,0.0,0.0,0.0,0.0,40.13,0.0,0.419,24.248,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2.076,1053.003,24.598,19.398,0.0,18.28,0.0,27.724,12.133,24.285,24.265,18.415,5.107,411.185,0.292,-2.96,4553841.084,9.238,4.777,0.481,13.498,0.305,0.073,-1.13,4.628,0,0,0,2,1,3,4,3,6,8,0,0,0,19.887,5.817,0.0,0.0,0.0,5.969,4.795,4.39,0.0,0.0,36.408,43.686,34.623,18.629,3,24.505,22.948,0.0,4.567,0.0,44.939,0.0,66.118,11.127,0.0,4.39,0.0,0.0,38.064,4.795,5.817,38.425,54.607,0.0,28.106,82.69,0.0,15.642,62.025,1,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.888,549.823,28.979,17.966,0.0,5.687,0.0,31.189,6.069,0.0,0.0,5.317,10.368,270.062,0.167,-2.49,10134.114,5.436,3.741,0.511,12.3,0.416,0.09,-4.456,2.999,0,0,0,1,0,1,3,2,7,4,0,0,0,10.423,11.828,5.573,0.0,5.907,6.176,4.795,0.0,18.433,0.0,0.0,31.189,5.687,5.563,1,23.072,11.595,5.262,0.0,0.0,13.1,5.317,41.161,6.069,5.317,18.859,0.0,0.0,11.014,10.971,11.331,12.487,35.598,0.0,0.0,73.12,0.0,36.9,30.684,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.277,1701.679,12.135,14.384,0.0,30.629,64.325,39.795,11.337,34.992,66.044,44.666,9.474,775.355,0.475,-4.37,1230000000000.0,21.502,13.8,0.444,14.23,0.407,0.15,-0.761,6.001,0,1,1,2,2,4,10,3,14,24,0,1,1,30.324,12.649,0.0,5.907,0.0,12.124,14.678,14.573,0.0,22.674,74.511,43.231,56.26,40.848,5,23.857,40.705,0.0,35.718,0.0,83.147,39.896,104.457,0.0,15.95,9.589,0.0,22.674,95.821,40.262,0.0,65.733,77.751,0.0,0.0,138.02,3.024,0.0,114.81,0,0,0,0,2,0,0,3,3,0,0,0,4,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
0,2.739,783.281,17.857,9.589,0.0,11.63,33.126,0.0,7.11,38.97,0.0,5.317,32.676,383.069,0.333,-1.98,278594.419,7.933,3.673,0.466,12.581,0.336,0.21,-0.737,3.964,0,1,1,1,0,1,5,1,7,6,0,0,0,14.791,0.0,0.0,0.0,0.0,11.939,0.0,9.589,0.0,0.0,35.335,32.401,11.394,40.826,2,19.063,35.14,0.0,5.317,0.0,26.689,13.717,56.348,0.0,5.317,0.0,0.0,23.202,25.655,19.063,0.0,32.253,40.739,10.045,0.0,64.63,12.524,0.0,51.032,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.197,405.988,6.104,5.107,0.0,12.711,32.407,11.313,0.0,0.0,51.96,5.317,14.211,325.225,0.667,-1.14,97254.298,11.404,10.285,0.491,9.8,0.119,0.237,-0.513,2.366,0,0,0,1,0,1,5,2,5,12,0,0,0,24.634,18.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.98,31.544,12.587,25.925,1,19.317,0.0,0.0,5.317,0.0,52.552,26.365,29.829,5.75,10.054,0.0,5.75,0.0,49.722,16.081,0.0,33.258,24.265,0.0,0.0,59.95,0.0,0.0,49.833,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,1.729,1048.298,17.215,14.696,4.39,16.992,35.458,38.773,19.373,4.567,4.9,5.317,4.737,401.175,0.524,-2.61,7887117.993,6.725,2.885,0.492,15.32,0.341,0.06,-1.301,2.37,1,2,3,1,1,2,6,2,8,4,1,2,3,24.627,11.251,11.567,5.429,0.0,5.969,4.795,9.185,0.0,0.0,0.0,44.212,31.37,18.013,5,19.028,22.56,0.0,9.884,5.918,37.767,31.644,33.867,5.75,20.382,10.078,5.75,0.0,48.429,0.0,11.735,42.083,17.058,0.0,10.903,83.8,0.0,17.115,54.718,0,0,0,1,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1.405,1049.171,5.601,14.696,0.0,16.396,18.777,63.92,0.0,0.0,51.96,5.317,9.474,441.161,0.417,-2.67,9100031.311,8.112,4.237,0.507,11.736,0.286,0.23,-0.467,4.374,0,2,2,2,0,2,6,2,7,5,0,1,1,14.58,29.456,0.0,5.907,5.239,0.0,14.906,0.0,0.0,0.0,23.895,81.344,5.563,5.25,4,24.169,22.908,0.0,5.317,0.0,57.808,6.607,52.083,17.249,14.791,4.795,17.249,11.762,33.711,17.636,20.771,41.162,24.265,0.0,0.0,84.86,1.037,0.0,71.547,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
